trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.4, 'e': 0.8606433826830363}",25,0,-21.837987765137463,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.4, 'e': 0.8597827393003533}",20,0,-60.201880618589236,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
152,False,"{'a': 0.4, 'e': 0.8589229565610529}",20,0,-57.812083386986025,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
153,False,"{'a': 0.4, 'e': 0.8580640336044919}",25,0,-21.086542240092264,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.4, 'e': 0.8572059695708873}",20,0,-92.83190331500053,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
155,False,"{'a': 0.4, 'e': 0.8563487636013165}",20,0,17.096743964796303,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.4, 'e': 0.8554924148377152}",30,0,-20.633759163441564,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
157,False,"{'a': 0.4, 'e': 0.8546369224228775}",20,0,-79.54551397101586,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
158,False,"{'a': 0.4, 'e': 0.8537822855004545}",20,0,-102.20102628090436,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
159,False,"{'a': 0.4, 'e': 0.8529285032149541}",25,0,-84.55699694689774,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",1
160,False,"{'a': 0.4, 'e': 0.8520755747117391}",25,0,-84.46643293445129,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",1
161,False,"{'a': 0.4, 'e': 0.8512234991370274}",30,0,-127.56845016041429,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
162,False,"{'a': 0.4, 'e': 0.8503722756378904}",30,0,-243.11579370820675,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
163,False,"{'a': 0.4, 'e': 0.8495219033622525}",20,9,-25.46522144902601,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.8486723814588902}",20,0,-88.14263450838043,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.4, 'e': 0.8478237090774313}",20,0,-76.19464040972967,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
166,False,"{'a': 0.4, 'e': 0.8469758853683539}",20,8,-72.66928120318389,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
167,False,"{'a': 0.4, 'e': 0.8461289094829856}",25,0,-23.76735014707413,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
168,False,"{'a': 0.4, 'e': 0.8452827805735026}",25,2,-80.23183708602768,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
169,False,"{'a': 0.4, 'e': 0.8444374977929291}",20,4,-114.96314069673134,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 2}",1
170,False,"{'a': 0.4, 'e': 0.8435930602951361}",25,0,-121.06920082437193,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
171,False,"{'a': 0.4, 'e': 0.842749467234841}",25,0,-148.0871839297103,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
172,False,"{'a': 0.4, 'e': 0.8419067177676062}",25,3,-97.30894173914416,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 1}",1
173,False,"{'a': 0.4, 'e': 0.8410648110498385}",30,0,-55.973276053375045,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",1
174,False,"{'a': 0.4, 'e': 0.8402237462387887}",20,0,-32.925817022411124,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.4, 'e': 0.8393835224925499}",20,1,6.736177653817975,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.8385441389700574}",25,18,-9.70738777646212,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.4, 'e': 0.8377055948310873}",20,15,-32.07519021289455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.4, 'e': 0.8368678892362562}",30,0,-178.23859503405785,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
179,False,"{'a': 0.4, 'e': 0.83603102134702}",20,4,-51.69891693023221,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
180,False,"{'a': 0.4, 'e': 0.8351949903256729}",20,0,-99.35262767649233,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
181,False,"{'a': 0.4, 'e': 0.8343597953353473}",20,0,-48.74680662112078,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
